Tectonic regime,Lithology,Structural setting,Gross,Netpay,Porosity,Permeability,Depth,Oil density,Oil recovery factor,NGE
COMPRESSION,SANDSTONE,INVERSION,30.0,6.9,17.930090497737563,120.0,1850.4,865.4434250764525,0.29,0.23
COMPRESSION,LOW-RESISTIVITY SANDSTONE,RIFT,21.6,16.8,17.930090497737563,2000.0,617.1,940.1993355481727,0.42,0.7777777777777778
EXTENSION,SANDSTONE,RIFT,210.0,147.0,27.0,2500.0,2180.1,834.8082595870205,0.66,0.7
COMPRESSION,SANDSTONE,RIFT,222.0,108.0,17.930090497737563,470.0,2391.6,825.0728862973759,0.7,0.4864864864864865
COMPRESSION,SANDSTONE,FORELAND,21.8,11.0,27.0,1000.0,885.0,972.5085910652922,0.2,0.5045871559633027
EXTENSION,SANDSTONE,RIFT,294.0,48.0,32.0,2600.0,1277.7,959.3220338983052,0.22,0.16326530612244897
COMPRESSION,SANDSTONE,FORELAND,57.0,5.4,17.0,1000.0,915.0,933.993399339934,0.35,0.09473684210526316
COMPRESSION,SANDSTONE,FORELAND,49.5,10.5,25.0,2000.0,915.0,878.8819875776397,0.7,0.21212121212121213
GRAVITY,SANDSTONE,PASSIVE MARGIN,165.0,52.5,25.0,1000.0,859.5,876.1609907120743,0.53,0.3181818181818182
GRAVITY,SANDSTONE,SALT,82.5,13.2,25.0,2460.0,1217.7,933.993399339934,0.35,0.16
COMPRESSION,SANDSTONE,INTRACRATONIC,33.0,19.8,15.0,160.0,2519.7,815.5619596541786,0.31,0.6
EXTENSION,DOLOMITE,FORELAND,219.0,39.0,5.0,0.3,1770.0,834.8082595870205,0.17,0.1780821917808219
INVERSION,SANDSTONE,RIFT,81.9,51.0,22.0,350.0,2175.6,854.9848942598187,0.42,0.6227106227106227
EXTENSION,SANDSTONE,RIFT,142.5,114.0,24.0,1200.0,2391.0,832.8428487345498,0.5,0.8
COMPRESSION,SANDSTONE,WRENCH,150.0,36.0,35.0,1200.0,420.0,986.0627177700347,0.23,0.24
COMPRESSION,DOLOMITE,INTRACRATONIC,18.0,15.0,11.0,2.8,1629.0,808.1096516276415,0.48,0.8333333333333334
INVERSION,SANDSTONE,INTRACRATONIC,34.5,18.0,11.2,1.0,2828.1,775.3424657534247,0.26,0.5217391304347826
GRAVITY,CHALK,SALT,240.0,147.0,21.0,0.6,2856.0,834.8082595870205,0.22,0.6125
COMPRESSION,DOLOMITE,SUB-THRUST,135.0,88.8,8.2,7.0,900.0,829.9120234604104,0.22,0.6577777777777778
INVERSION,SANDSTONE,SALT,123.0,113.1,16.5,300.0,3223.2,829.9120234604104,0.57,0.9195121951219511
COMPRESSION,DOLOMITE,FORELAND,75.0,9.0,11.0,21.0,1905.0,915.8576051779936,0.33,0.12
COMPRESSION,DOLOMITIC LIMESTONE,SUB-SALT,418.2,78.6,17.930090497737563,140.0,2487.0,820.2898550724636,0.24,0.187948350071736
COMPRESSION,SANDSTONE,INVERSION,74.7,26.7,17.930090497737563,120.0,2943.9,844.7761194029849,0.37,0.357429718875502
INVERSION,SANDSTONE,INVERSION,276.0,130.8,21.0,235.0,1032.0,854.9848942598187,0.26,0.4739130434782609
INVERSION,CHALK,INVERSION,84.0,75.0,25.0,0.5,2118.9,829.9120234604104,0.11,0.8928571428571429
INVERSION,CHALK,INVERSION,144.0,123.0,35.0,2.0,2294.4,839.7626112759642,0.45,0.8541666666666666
COMPRESSION,SANDSTONE,FORELAND,3.3,3.6,23.0,210.0,738.0,834.8082595870205,0.24,1.090909090909091
COMPRESSION,SANDSTONE,INTRACRATONIC,945.0,128.7,23.6,187.0,1673.1,815.5619596541786,0.3,0.13619047619047617
INVERSION,DOLOMITE,INVERSION,13.8,9.9,11.0,83.0,1515.6,852.4096385542167,0.11,0.717391304347826
INVERSION,SANDSTONE,INVERSION,60.0,7.5,10.0,209.0,1564.8,852.4096385542167,0.4,0.125
EXTENSION,SANDSTONE,RIFT,128.1,83.7,18.0,800.0,2534.1,839.7626112759642,0.31,0.6533957845433256
COMPRESSION,SANDSTONE,RIFT,17.1,7.8,17.930090497737563,200.0,2799.9,829.9120234604104,0.34,0.45614035087719296
EXTENSION,LIMESTONE,INTRACRATONIC,22.5,18.0,14.0,10.0,1797.0,849.8498498498496,0.25,0.8
COMPRESSION,LIMESTONE,INTRACRATONIC,99.0,6.0,10.0,35.0,574.5,849.8498498498496,0.3,0.06060606060606061
INVERSION,LOW-RESISTIVITY SANDSTONE,RIFT,49.2,29.4,32.0,7500.0,497.1,940.1993355481727,0.44,0.5975609756097561
EXTENSION,SANDSTONE,RIFT,1770.0,8.4,18.3,386.0,726.3,870.7692307692308,0.46,0.0047457627118644066
EXTENSION,BASEMENT,RIFT,196.8,57.0,1.8,7.8,1448.7,839.7626112759642,0.27,0.2896341463414634
GRAVITY,SANDSTONE,SALT,66.3,55.8,26.0,3500.0,3480.0,870.7692307692308,0.86,0.8416289592760181
COMPRESSION,SANDSTONE,FORELAND,24.0,6.6,10.2,60.0,1837.5,801.6997167138811,0.2,0.27499999999999997
EXTENSION,SANDSTONE,RIFT,1968.6,45.9,25.0,420.0,1338.6,898.4126984126983,0.37,0.023316062176165803
COMPRESSION,LIMESTONE,FORELAND,95.4,47.1,17.930090497737563,278.0,2385.3,860.1823708206688,0.46,0.4937106918238994
COMPRESSION,DOLOMITE,FORELAND,69.9,50.1,11.8,1407.0,2791.8,820.2898550724636,0.82,0.7167381974248926
COMPRESSION,DOLOMITE,FORELAND,180.0,12.0,9.9,9.0,1443.0,852.9234478601567,0.28,0.06666666666666667
COMPRESSION,DOLOMITIC LIMESTONE,INTRACRATONIC,12.9,4.6,10.0,2.6,982.5,842.2619047619047,0.15,0.3565891472868217
COMPRESSION,SANDSTONE,INTRACRATONIC,12.9,4.6,14.0,13.5,982.5,842.2619047619047,0.15,0.3565891472868217
COMPRESSION,DOLOMITE,INTRACRATONIC,24.6,9.9,15.0,10.0,1290.0,881.6199376947039,0.39,0.40243902439024387
EXTENSION,SANDSTONE,RIFT,295.2,98.4,15.0,127.0,2652.6,876.1609907120743,0.32,0.33333333333333337
INVERSION,SANDSTONE,RIFT,157.5,45.0,18.0,100.0,1486.2,834.8082595870205,0.55,0.2857142857142857
EXTENSION,SANDSTONE,RIFT,369.0,37.5,15.6,83.0,2625.0,881.6199376947039,0.32,0.1016260162601626
EXTENSION,SANDSTONE,RIFT,270.0,13.5,18.0,1800.0,1680.0,857.0563294972743,0.36,0.05
EXTENSION,SANDSTONE,RIFT,784.5,19.8,31.0,1475.0,1169.4,959.3220338983052,0.29,0.025239005736137667
EXTENSION,DOLOMITE,RIFT,391.8,53.1,1.3,1.2,2798.1,892.7444794952681,0.29,0.13552833078101073
COMPRESSION,SANDSTONE,INVERSION,30.0,16.8,21.0,1000.0,144.0,946.4882943143813,0.45,0.56
COMPRESSION,DOLOMITE,SALT,201.0,75.0,15.0,5.0,2765.7,820.2898550724636,0.16,0.373134328358209
COMPRESSION,CHALK,SALT,105.0,90.0,28.0,5.0,1332.0,825.0728862973759,0.57,0.8571428571428571
EXTENSION,DOLOMITE,RIFT,168.0,24.6,2.5,8.4,1791.0,876.1609907120743,0.32,0.14642857142857144
COMPRESSION,SHALY SANDSTONE,FORELAND,42.0,10.5,17.930090497737563,1.0,2494.5,839.7626112759642,0.14,0.25
COMPRESSION,THINLY-BEDDED SANDSTONE,WRENCH,60.0,45.0,20.0,75.0,3330.0,865.4434250764525,0.4,0.75
GRAVITY,SANDSTONE,DELTA,57.0,30.0,27.0,2000.0,1320.0,849.8498498498496,0.5,0.5263157894736842
COMPRESSION,LIMESTONE,SALT,36.3,15.0,17.930090497737563,1.5,1926.0,860.1823708206688,0.32,0.4132231404958678
GRAVITY,LIMESTONE,SALT,43.5,42.0,25.0,30.0,2082.0,849.8498498498496,0.32,0.9655172413793104
GRAVITY,LIMESTONE,SALT,161.1,33.0,23.0,15.0,2125.5,844.7761194029849,0.32,0.2048417132216015
GRAVITY,LIMESTONE,SALT,44.1,27.0,25.0,60.0,2355.0,825.0728862973759,0.35,0.6122448979591837
EXTENSION,SANDSTONE,RIFT,69.0,20.7,26.7,1872.0,1615.2,921.8241042345276,0.12,0.3
COMPRESSION,SANDSTONE,RIFT,206.7,57.6,17.930090497737563,126.0,1663.5,892.7444794952681,0.28,0.2786647314949202
EXTENSION,SANDSTONE,RIFT,49.2,18.6,23.2,121.0,1416.3,946.4882943143813,0.13,0.3780487804878049
COMPRESSION,SANDSTONE,RIFT,88.5,23.7,17.930090497737563,60.0,2273.7,881.6199376947039,0.19,0.2677966101694915
EXTENSION,VOLCANICS,RIFT,147.6,58.2,12.7,3.6,2952.9,870.7692307692308,0.05,0.39430894308943093
COMPRESSION,SANDSTONE,FORELAND,78.6,9.9,24.0,30.0,561.0,887.1473354231973,0.24,0.12595419847328246
COMPRESSION,SANDSTONE,FORELAND,38.4,13.2,26.0,1000.0,967.5,860.1823708206688,0.67,0.34375
