Tectonic regime,Lithology,Structural setting,Gross,Netpay,Porosity,Permeability,Depth,Oil density,Oil recovery factor,NGE
COMPRESSION,LIMESTONE,SUB-SALT,1980.0,780.0,10.0,8.0,3561.0,849.8498498498496,0.33,0.3939393939393939
COMPRESSION,SANDSTONE,WRENCH,40.5,17.7,28.0,240.0,227.4,943.3333333333335,0.41,0.437037037037037
COMPRESSION,LIMESTONE,FORELAND,168.3,36.9,21.0,38.0,913.2,839.7626112759642,0.65,0.2192513368983957
COMPRESSION,LIMESTONE,FORELAND,77.1,16.8,7.4,24.0,2859.0,813.2183908045978,0.52,0.21789883268482493
COMPRESSION,CONGLOMERATE,THRUST,225.0,12.9,18.0,279.0,1830.0,860.1823708206688,0.26,0.05733333333333333
INVERSION,SANDSTONE,INVERSION,450.0,9.3,21.0,85.0,705.0,775.3424657534247,0.23,0.020666666666666667
INVERSION,SANDSTONE,INVERSION,1740.0,56.4,23.0,180.0,780.0,797.1830985915492,0.62,0.032413793103448274
COMPRESSION,SANDSTONE,FORELAND,195.0,98.7,28.0,4500.0,1417.5,884.375,0.4,0.5061538461538462
EXTENSION,LOW-RESISTIVITY SANDSTONE,PASSIVE MARGIN,30.0,10.5,20.5,70.0,1755.0,834.8082595870205,0.23,0.35
GRAVITY,SANDSTONE,DELTA,1605.0,439.8,22.0,280.0,1521.0,847.3053892215569,0.43,0.27401869158878506
COMPRESSION,SANDSTONE,FORELAND,19.8,9.9,20.0,460.0,1740.0,825.0728862973759,0.66,0.5
COMPRESSION,LIMESTONE,SUB-SALT,1050.0,450.0,6.0,6.0,3823.8,788.3008356545961,0.4,0.42857142857142855
COMPRESSION,SANDSTONE,SALT,21.6,7.8,17.930090497737563,48.0,514.8,965.8703071672355,0.18,0.3611111111111111
INVERSION,SANDSTONE,INVERSION,105.0,60.0,17.0,393.0,1245.0,881.6199376947039,0.475,0.5714285714285714
COMPRESSION,SANDSTONE,FORELAND,21.0,13.8,20.0,177.0,1579.8,801.6997167138811,0.56,0.6571428571428571
COMPRESSION,LIMESTONE,FORELAND,99.0,22.5,18.0,195.0,1614.3,801.6997167138811,0.49,0.22727272727272727
COMPRESSION,LOW-RESISTIVITY SANDSTONE,FORELAND,10.5,6.0,24.0,138.0,1686.0,909.967845659164,0.53,0.5714285714285714
GRAVITY,SANDSTONE,PASSIVE MARGIN,90.0,7.2,9.3,0.6,2382.0,832.3529411764705,0.19,0.08
EXTENSION,SANDSTONE,PASSIVE MARGIN,639.9,21.6,23.0,350.0,1452.9,876.1609907120743,0.51,0.03375527426160338
COMPRESSION,LIMESTONE,WRENCH,360.0,60.0,17.930090497737563,0.1,3720.0,839.7626112759642,0.2,0.16666666666666666
STRIKE-SLIP,SANDSTONE,WRENCH,18.0,9.9,25.0,400.0,2100.0,865.4434250764525,0.3,0.55
COMPRESSION,SANDSTONE,THRUST,63.0,12.9,21.0,237.0,100.5,856.0193587416818,0.3,0.20476190476190476
COMPRESSION,SANDSTONE,THRUST,54.0,11.7,23.0,619.0,408.6,858.0958156458458,0.51,0.21666666666666665
COMPRESSION,SANDSTONE,THRUST,63.0,24.6,17.8,24.0,459.6,863.8583638583638,0.37,0.3904761904761905
GRAVITY,DOLOMITE,INTRACRATONIC,129.0,67.5,5.5,22.0,2187.0,762.8032345013478,0.55,0.5232558139534884
COMPRESSION,LIMESTONE,FORELAND,210.0,30.0,17.930090497737563,1.0,2520.0,881.6199376947039,0.075,0.14285714285714285
COMPRESSION,SANDSTONE,FORELAND,19.8,6.0,22.0,800.0,1122.0,946.4882943143813,0.25,0.30303030303030304
COMPRESSION,SANDSTONE,PASSIVE MARGIN,12.0,9.0,17.930090497737563,100.0,3126.0,829.9120234604104,0.67,0.75
COMPRESSION,DOLOMITE,INTRACRATONIC,139.5,7.2,14.0,30.0,2901.9,810.888252148997,0.38,0.05161290322580645
EXTENSION,DOLOMITE,RIFT,234.3,114.3,3.2,5.4,3159.3,839.7626112759642,0.19,0.48783610755441736
EXTENSION,LIMESTONE,PASSIVE MARGIN,468.6,39.3,25.0,651.0,847.5,937.086092715232,0.08,0.08386683738796413
COMPRESSION,SANDSTONE,FORELAND,17.4,9.9,30.0,2000.0,570.0,965.8703071672355,0.08,0.5689655172413793
COMPRESSION,SANDSTONE,FORELAND,27.0,15.0,34.0,2000.0,570.0,986.0627177700347,0.08,0.5555555555555556
GRAVITY,SANDSTONE,DELTA,138.0,45.0,24.0,900.0,2422.5,921.8241042345276,0.52,0.32608695652173914
GRAVITY,SANDSTONE,DELTA,40.5,7.8,20.0,35.0,3024.6,820.2898550724636,0.46,0.1925925925925926
COMPRESSION,SANDSTONE,THRUST,180.0,63.0,17.930090497737563,31.0,1140.0,849.8498498498496,0.542,0.35
COMPRESSION,SANDSTONE,FORELAND,75.0,6.9,14.0,60.0,3975.0,813.2183908045978,0.15,0.092
COMPRESSION,SANDSTONE,INTRACRATONIC,90.0,60.0,17.0,20.0,2283.0,829.9120234604104,0.26,0.6666666666666666
COMPRESSION,DOLOMITE,FORELAND,120.0,15.0,10.5,8.0,1404.0,865.4434250764525,0.3,0.125
COMPRESSION,SANDSTONE,FORELAND,295.2,7.2,16.0,72.0,1132.8,849.8498498498496,0.28,0.024390243902439025
COMPRESSION,CHALKY LIMESTONE,FORELAND,98.4,63.9,13.0,0.8,3063.3,921.8241042345276,0.08,0.6493902439024389
COMPRESSION,CHALKY LIMESTONE,FORELAND,246.0,278.4,9.0,0.2,3210.9,904.1533546325877,0.08,1.1317073170731706
GRAVITY,SANDSTONE,SALT,45.0,45.0,28.5,2000.0,1662.9,933.993399339934,0.35,1.0
COMPRESSION,SANDSTONE,RIFT,49.2,16.8,17.930090497737563,1400.0,1215.0,915.8576051779936,0.6,0.3414634146341463
EXTENSION,SANDSTONE,RIFT,226.5,24.9,13.6,11.0,3727.5,844.7761194029849,0.43,0.10993377483443707
GRAVITY,DOLOMITE,SALT,24.0,16.5,25.0,600.0,1998.3,834.8082595870205,0.44,0.6875
GRAVITY,LIMESTONE,SALT,39.0,36.0,25.0,500.0,2026.5,834.8082595870205,0.44,0.9230769230769231
COMPRESSION,SANDSTONE,FORELAND,30.0,6.3,17.930090497737563,155.0,3166.5,825.0728862973759,0.38,0.21
INVERSION,CONGLOMERATE,INVERSION,150.0,87.0,11.0,125.0,2634.0,854.9848942598187,0.42,0.58
COMPRESSION,DOLOMITE,FORELAND,120.0,30.0,9.0,5.0,885.0,865.4434250764525,0.2,0.25
COMPRESSION,DOLOMITE,FORELAND,71.1,45.0,10.0,10.0,1275.0,881.6199376947039,0.51,0.6329113924050633
COMPRESSION,SANDSTONE,FORELAND,33.6,18.9,14.5,64.2,2064.0,892.7444794952681,0.3,0.5624999999999999
COMPRESSION,DOLOMITE,FORELAND,49.5,12.8,17.930090497737563,38.0,2070.0,904.1533546325877,0.172,0.2585858585858586
COMPRESSION,THINLY-BEDDED SANDSTONE,FORELAND,420.0,30.0,30.0,1000.0,331.2,946.4882943143813,0.3,0.07142857142857142
COMPRESSION,SANDSTONE,RIFT,120.0,25.5,17.930090497737563,252.0,2587.5,841.2604042806183,0.5,0.2125
COMPRESSION,DOLOMITE,INTRACRATONIC,19.2,9.6,20.0,3.5,1320.0,881.6199376947039,0.42,0.5
EXTENSION,SANDSTONE,RIFT,137.7,114.0,27.5,5625.0,1944.0,806.2678062678062,0.16,0.8278867102396514
INVERSION,SANDSTONE,INVERSION,180.0,60.0,26.0,500.0,588.0,844.7761194029849,0.55,0.3333333333333333
COMPRESSION,SANDSTONE,FORELAND,24.0,3.9,13.0,230.0,1710.0,820.2898550724636,0.46,0.1625
COMPRESSION,SANDSTONE,FORELAND,75.0,13.8,17.930090497737563,460.0,1706.4,806.2678062678062,0.41,0.184
COMPRESSION,SANDSTONE,INTRACRATONIC,442.8,30.6,18.5,45.0,2519.7,854.9848942598187,0.28,0.06910569105691057
EXTENSION,SANDSTONE,RIFT,127.5,90.0,22.0,750.0,2696.4,839.7626112759642,0.43,0.7058823529411765
COMPRESSION,CHALKY LIMESTONE,SALT,397.2,131.7,19.0,2.6,729.9,876.1609907120743,0.2,0.33157099697885195
COMPRESSION,DOLOMITIC LIMESTONE,INTRACRATONIC,36.0,5.3,10.0,2.6,993.0,842.2619047619047,0.33,0.14722222222222223
